attribute,model,n_common,acc_common,acc_common_ci_lo,acc_common_ci_hi
Hard to spot?,gemini-2.5-flash-lite,14,0.8571428571428571,0.600580922361363,0.9599069262620787
Hard to spot?,qwen2.5vl,14,0.14285714285714285,0.04009307373792117,0.399419077638637
Hard to spot?,gemma3,14,0.07142857142857142,0.012721886112291648,0.3146926955395781
Accident or design?,gemini-2.5-flash-lite,14,1.0,0.7846829880728186,1.0
Accident or design?,qwen2.5vl,14,0.9285714285714286,0.6853073044604219,0.9872781138877085
Accident or design?,gemma3,14,0.9285714285714286,0.6853073044604219,0.9872781138877085
Emotion?,gemini-2.5-flash-lite,14,0.7857142857142857,0.5241027622679172,0.9242875166308363
Emotion?,qwen2.5vl,14,0.7142857142857143,0.4535045882751561,0.882788120898909
Emotion?,gemma3,14,0.5,0.2679886791947528,0.7320113208052473
Person or creature?,gemini-2.5-flash-lite,14,0.14285714285714285,0.04009307373792117,0.399419077638637
Person or creature?,qwen2.5vl,14,0.2857142857142857,0.11721187910109102,0.546495411724844
Person or creature?,gemma3,14,0.14285714285714285,0.04009307373792117,0.399419077638637
Gender?,gemini-2.5-flash-lite,14,0.6428571428571429,0.3876400468214041,0.8365550926279727
Gender?,qwen2.5vl,14,0.6428571428571429,0.3876400468214041,0.8365550926279727
Gender?,gemma3,14,0.6428571428571429,0.3876400468214041,0.8365550926279727
Amusing?,gemini-2.5-flash-lite,14,0.2857142857142857,0.11721187910109102,0.546495411724844
Amusing?,qwen2.5vl,14,0.2857142857142857,0.11721187910109102,0.546495411724844
Amusing?,gemma3,14,0.2857142857142857,0.11721187910109102,0.546495411724844
